match_id,date,stage,group,team_a,team_b,source_team_a,source_team_b,source_orientation_flipped,final_score_a,final_score_b,outcome,decided_by,pen_a,pen_b,advanced_team,city,country,neutral,match_number
m73,2026-06-28,round_of_32,,South Africa,Canada,South Africa,Canada,0,0,1,team_b_win,regulation,,,Canada,Los Angeles,United States,True,73
m74,2026-06-29,round_of_32,,Germany,Paraguay,Germany,Paraguay,0,1,1,draw,penalties,3.0,4.0,Paraguay,Boston,United States,True,74
m75,2026-06-29,round_of_32,,Netherlands,Morocco,Netherlands,Morocco,0,1,1,draw,penalties,2.0,3.0,Morocco,Monterrey,Mexico,True,75
m76,2026-06-29,round_of_32,,Brazil,Japan,Brazil,Japan,0,2,1,team_a_win,regulation,,,Brazil,Houston,United States,True,76
m77,2026-06-30,round_of_32,,Mexico,Ecuador,Mexico,Ecuador,0,2,0,team_a_win,regulation,,,Mexico,Mexico City,Mexico,False,77
m78,2026-06-30,round_of_32,,France,Sweden,France,Sweden,0,3,0,team_a_win,regulation,,,France,New Jersey,United States,True,78
m79,2026-06-30,round_of_32,,Ivory Coast,Norway,Côte d'Ivoire,Norway,0,1,2,team_b_win,regulation,,,Norway,Dallas,United States,True,79
m80,2026-07-01,round_of_32,,United States,Bosnia and Herzegovina,USA,Bosnia and Herzegovina,0,2,0,team_a_win,regulation,,,United States,San Francisco Bay Area,United States,False,80
m81,2026-07-01,round_of_32,,Belgium,Senegal,Belgium,Senegal,0,3,2,team_a_win,regulation,,,Belgium,Seattle,United States,True,81
m82,2026-07-01,round_of_32,,England,DR Congo,England,Congo DR,0,2,1,team_a_win,regulation,,,England,Atlanta,United States,True,82
m83,2026-07-02,round_of_32,,Switzerland,Algeria,Switzerland,Algeria,0,2,0,team_a_win,regulation,,,Switzerland,Vancouver,Canada,True,83
m84,2026-07-02,round_of_32,,Portugal,Croatia,Portugal,Croatia,0,2,1,team_a_win,regulation,,,Portugal,Toronto,Canada,True,84
m85,2026-07-02,round_of_32,,Spain,Austria,Spain,Austria,0,3,0,team_a_win,regulation,,,Spain,Los Angeles,United States,True,85
m86,2026-07-03,round_of_32,,Colombia,Ghana,Colombia,Ghana,0,1,0,team_a_win,regulation,,,Colombia,Kansas City,United States,True,86
m87,2026-07-03,round_of_32,,Argentina,Cape Verde,Argentina,Cabo Verde,0,3,2,team_a_win,regulation,,,Argentina,Miami,United States,True,87
m88,2026-07-03,round_of_32,,Australia,Egypt,Australia,Egypt,0,1,1,draw,penalties,2.0,4.0,Egypt,Dallas,United States,True,88
m89,2026-07-04,round_of_16,,Paraguay,France,Paraguay,France,0,0,1,team_b_win,regulation,,,France,Philadelphia,United States,True,89
m90,2026-07-04,round_of_16,,Canada,Morocco,Canada,Morocco,0,0,3,team_b_win,regulation,,,Morocco,Houston,United States,True,90
m91,2026-07-05,round_of_16,,Mexico,England,Mexico,England,0,2,3,team_b_win,regulation,,,England,Mexico City,Mexico,False,91
m92,2026-07-05,round_of_16,,Brazil,Norway,Brazil,Norway,0,1,2,team_b_win,regulation,,,Norway,New Jersey,United States,True,92
m93,2026-07-06,round_of_16,,United States,Belgium,USA,Belgium,0,1,4,team_b_win,regulation,,,Belgium,Seattle,United States,False,93
m94,2026-07-06,round_of_16,,Portugal,Spain,Portugal,Spain,0,0,1,team_b_win,regulation,,,Spain,Dallas,United States,True,94
m95,2026-07-07,round_of_16,,Switzerland,Colombia,Switzerland,Colombia,0,0,0,draw,penalties,4.0,3.0,Switzerland,Vancouver,Canada,True,95
m96,2026-07-07,round_of_16,,Argentina,Egypt,Argentina,Egypt,0,3,2,team_a_win,regulation,,,Argentina,Atlanta,United States,True,96
m97,2026-07-09,quarter_final,,France,Morocco,France,Morocco,0,2,0,team_a_win,regulation,,,France,Boston,United States,True,97
m98,2026-07-10,quarter_final,,Spain,Belgium,Spain,Belgium,0,2,1,team_a_win,regulation,,,Spain,Los Angeles,United States,True,98
m99,2026-07-11,quarter_final,,Argentina,Switzerland,Argentina,Switzerland,0,3,1,team_a_win,regulation,,,Argentina,Kansas City,United States,True,99
m100,2026-07-11,quarter_final,,Norway,England,Norway,England,0,1,2,team_b_win,regulation,,,England,Miami,United States,True,100
m101,2026-07-14,semi_final,,France,Spain,France,Spain,0,0,2,team_b_win,regulation,,,Spain,Dallas,United States,True,101
m102,2026-07-15,semi_final,,England,Argentina,England,Argentina,0,1,2,team_b_win,regulation,,,Argentina,Atlanta,United States,True,102
m103,2026-07-18,third_place,,France,England,France,England,0,4,6,team_b_win,regulation,,,England,Miami,United States,True,103
m104,2026-07-19,final,,Spain,Argentina,Spain,Argentina,0,1,0,team_a_win,extra_time,,,Spain,New Jersey,United States,True,104
